DATE,CHINA_BHKP_PIX_PRICE
8/27/2019,480.02
9/3/2019,478.21
9/10/2019,478.25
9/17/2019,475.51
9/24/2019,469.74
10/1/2019,465.91
10/8/2019,465.74
10/15/2019,463.9
10/22/2019,462.02
10/29/2019,459.66
11/5/2019,458.59
11/12/2019,459.68
11/19/2019,458.23
11/26/2019,458.29
12/3/2019,457.33
12/10/2019,457.21
12/17/2019,457.6
12/27/2019,456.69
12/31/2019,456.92
1/7/2020,458.33
1/14/2020,459.57
1/21/2020,460.88
1/28/2020,461.45
2/4/2020,462.37
2/11/2020,460.11
2/18/2020,463.65
2/25/2020,462.78
3/3/2020,460.98
3/10/2020,462.37
3/17/2020,463.02
3/24/2020,461.32
3/31/2020,461.75
4/7/2020,462.09
4/14/2020,464.34
4/21/2020,466.17
4/28/2020,465.25
5/5/2020,469.3
5/12/2020,473.31
5/19/2020,471.03
5/26/2020,469.83
6/2/2020,468.19
6/9/2020,465.62
6/16/2020,465.32
6/23/2020,464.06
6/30/2020,460.54
7/7/2020,445.89
7/14/2020,443.89
7/21/2020,445.41
7/28/2020,442.94
8/4/2020,442.31
8/11/2020,441.26
8/18/2020,445
8/25/2020,443.36
9/1/2020,443.04
9/8/2020,442.43
9/15/2020,444.12
9/22/2020,447.94
9/29/2020,449.22
10/6/2020,449.59
10/13/2020,449.95
10/20/2020,451.48
10/27/2020,451.93
11/3/2020,455.42
11/10/2020,459.18
11/17/2020,459.41
11/24/2020,460.31
12/1/2020,464.27
12/8/2020,464.7
12/15/2020,467.46
12/29/2020,499.08
1/5/2021,500.46
1/8/2021,518.72
1/15/2021,533.94
1/22/2021,536.91
1/29/2021,541.99
2/5/2021,593.56
2/12/2021,600.41
2/19/2021,600.41
2/26/2021,617.22
3/5/2021,714.48
3/12/2021,720.05
3/19/2021,726.44
3/26/2021,726.8
4/2/2021,729.97
4/9/2021,779.47
4/16/2021,779.82
4/23/2021,778.35
4/30/2021,774.7
5/7/2021,778.83
5/14/2021,779.3
5/21/2021,780.09
5/28/2021,777.92
6/4/2021,777.11
6/11/2021,777.02
6/18/2021,774.82
6/25/2021,772.75
7/2/2021,759.29
7/9/2021,742.99
7/16/2021,684.85
7/23/2021,666.79
7/30/2021,647.96
8/6/2021,644.46
8/13/2021,641.15
8/20/2021,639.03
8/27/2021,629.15
9/3/2021,623.31
9/10/2021,622.98
9/17/2021,620.49
9/24/2021,621.98
10/1/2021,599.61
10/8/2021,591.35
10/15/2021,588.61
10/22/2021,586.88
10/29/2021,570.23
11/5/2021,554.26
11/12/2021,551.54
11/19/2021,549.85
11/26/2021,551.26
12/3/2021,552.02
12/10/2021,556.92
12/17/2021,567.03
12/24/2021,570.73
12/31/2021,576.42
1/7/2022,588.18
1/14/2022,593.29
1/21/2022,600.44
1/28/2022,602.82
